War Memorial Stadium,8,Little Rock,AR,53727,FieldTurf,1948
Donald W. Reynolds Razorback Stadium,6,Fayetteville,AR,72000,Sportexe PowerBlade,1938
Floyd Casey Stadium,132,Waco,TX,50000,Prestige System,1950
McLane Stadium,151,Waco,TX,45140,MatrixTurf,2014
Bronco Stadium,42,Boise,ID,33610,AstroPlay,1970
LaVell Edwards Stadium,134,Provo,UT,65000,Grass,1964
Memorial Stadium Clemson,112,Clemson,SC,86400,Grass,1942
Folsom Field,20,Boulder,CO,53245,Grass,1924
Doak Campbell Stadium,33,Tallahassee,FL,80000,Grass,1950
Bobby Dodd Stadium,37,Atlanta,GA,55000,Grass,1913
Memorial Stadium Bloomington,47,Bloomington,IN,52000,AstroPlay,1960
Jack Trice Stadium,40,Ames,IA,50000,Grass,1975
Bill Snyder Family Football Stadium,52,Manhattan,KS,50300,FieldTurf,1968
Joan C. Edwards Stadium,142,Huntington,WV,38016,FieldTurf,1991
Spartan Stadium,68,East Lansing,MI,73000,Grass,1923
Carter?Finley Stadium,82,Raleigh,NC,56800,Grass,1966
Memorial Stadium Lincoln,84,Lincoln,NE,81067,FieldTurf,1923
Mackay Stadium,90,Reno,NV,31000,FieldTurf,1966
Huskie Stadium,45,DeKalb,IL,30076,FieldTurf,1965
Notre Dame Stadium,49,South Bend,IN,80795,Grass,1930
Vaught?Hemingway Stadium,76,Oxford,MS,60580,AstroPlay,1915
Oklahoma Memorial Stadium,103,Norman,OK,81207,Grass,1923
Beaver Stadium,111,University Park,PA,107282,Grass,1960
High Point Solutions Stadium,86,Piscataway,NJ,52454,FieldTurf,1994
Cotton Bowl,131,Dallas,TX,68252,Grass,1932
Gerald J. Ford Stadium,122,University Park,TX,32000,A-Turf,2000
Carrier Dome,92,Syracuse,NY,49250,FieldTurf,1980
Kyle Field,120,College Station,TX,82600,Grass,1929
Glass Bowl,102,Toledo,OH,26248,NextTurf,1937
Movie Gallery Stadium,4,Troy,AL,30000,AstroPlay,1950
Rose Bowl,15,Pasadena,CA,91136,Grass,1922
Scott Stadium,137,Charlottesville,VA,60000,Grass,1931
Husky Stadium,139,Seattle,WA,72500,FieldTurf,1920
CenturyLink Field,140,Seattle,WA,67000,FieldTurf,2002
Camp Randall Stadium,141,Madison,WI,79500,FieldTurf,1917
Houchens Industries?L. T. Smith Stadium,148,Bowling Green,Kentucky,17500,AstroPlay,1968
Mountaineer Field,143,Morgantown,WV,63500,FieldTurf,1980
Bryant?Denny Stadium,5,Tuscaloosa,AL,101821,Grass,1929
Arizona Stadium,11,Tucson,AZ,57400,Grass,1929
Centennial Bank Stadium,7,Jonesboro,AR,30964,FieldTurf,1974
Scheumann Stadium,48,Munice,IN,22500,FieldTurf,1967
Alumni Stadium,61,Chestnut Hill,MA,44500,FieldTurf,1957
UB Stadium,91,Buffalo,NY,31000,Sportexe Momentum,1993
California Memorial Stadium,12,Berkeley,CA,73347,Sportexe Momentum,1923
FIU Stadium,31,Miami,FL,17000,AstroPlay,1995
Georgia Dome,38,Atlanta,GA,71250,FieldTurf,1992
Georgia State Stadium,149,Atlanta,GA,24333,FieldTurf,2017
Aloha Stadium,39,Honolulu,HI,50000,FieldTurf,1975
Memorial Stadium Champaign,44,Champaign,IL,70000,AstroPlay,1924
Memorial Stadium Lawrence,51,Lawrence,KS,50250,AstroPlay,1921
Dix Stadium,100,Kent,OH,29287,FieldTurf,1969
Cajun Field,56,Lafayette,LA,31000,Grass,1971
Joe Aillet Stadium,59,Ruston,LA,30000,FieldTurf,1968
Liberty Bowl Memorial Stadium,115,Memphis,TN,62380,FieldTurf,1965
Yager Stadium,101,Oxford,OH,30012,FieldTurf,1983
"Johnny ""Red"" Floyd Stadium",116,Murfreesboro,TN,30788,AstroTurf,1998
Faurot Field,73,Columbia,MO,62000,FieldTurf,1927
University Stadium Albuquerque,87,Albuquerque,NM,40000,Grass,1960
Ryan Field,46,Evanston,IL,49256,Grass,1926
Peden Stadium,95,Athens,OH,24000,FieldTurf,1929
Reser Stadium,107,Corvallis,OR,35362,FieldTurf,1953
Qualcomm Stadium,16,San Diego,CA,71294,Grass,1967
Ladd?Peebles Stadium,3,Mobile,AL,40646,FieldTurf,1948
M. M. Roberts Stadium,75,Hattiesburg,MS,33000,Sportexe Momentum,1976
Citrus Bowl,32,Orlando,FL,65438,Grass,1947
Bright House Networks Stadium,146,Orlando,FL,45301,Grass,2007
McGuirk Stadium,150,Hadley,MA,17000,AstroPlay,1965
Los Angeles Memorial Coliseum,14,Los Angeles,CA,92000,Grass,1923
Sun Bowl Stadium,124,El Paso,TX,50426,AstroPlay,1963
